iter	Passed	Remaining
1539	994	2234
1540	995	2233
1541	995	2232
1542	996	2232
1543	996	2231
1544	997	2230
1545	998	2229
1546	998	2228
1547	999	2228
1548	999	2227
1549	1000	2226
1550	1000	2225
1551	1001	2224
1552	1001	2223
1553	1002	2223
1554	1003	2222
1555	1003	2221
1556	1004	2220
1557	1004	2220
1558	1005	2219
1559	1006	2218
1560	1006	2217
1561	1007	2217
1562	1008	2216
1563	1008	2215
1564	1009	2215
1565	1009	2214
1566	1010	2213
1567	1011	2212
1568	1011	2212
1569	1012	2211
1570	1013	2211
1571	1013	2210
1572	1014	2209
1573	1014	2208
1574	1015	2207
1575	1015	2207
1576	1016	2206
1577	1017	2205
1578	1017	2204
1579	1018	2203
1580	1018	2203
1581	1019	2202
1582	1019	2201
1583	1020	2200
1584	1021	2200
1585	1021	2199
1586	1022	2198
1587	1022	2197
1588	1023	2196
1589	1024	2196
1590	1024	2195
1591	1025	2194
1592	1025	2193
1593	1026	2192
1594	1026	2192
1595	1027	2191
1596	1028	2190
1597	1028	2189
1598	1029	2189
1599	1029	2188
1600	1030	2188
1601	1031	2188
1602	1032	2187
1603	1032	2186
1604	1033	2185
1605	1033	2184
1606	1034	2183
1607	1034	2182
1608	1035	2182
1609	1035	2181
1610	1036	2180
1611	1037	2179
1612	1037	2178
1613	1038	2177
1614	1038	2177
1615	1039	2176
1616	1040	2176
1617	1040	2175
1618	1041	2174
1619	1042	2174
1620	1042	2173
1621	1043	2172
1622	1043	2171
1623	1044	2171
1624	1044	2170
1625	1045	2169
1626	1047	2170
1627	1047	2170
1628	1048	2169
1629	1049	2169
1630	1049	2168
1631	1050	2168
1632	1051	2167
1633	1052	2167
1634	1052	2166
1635	1053	2166
1636	1054	2165
1637	1054	2165
1638	1055	2164
1639	1056	2164
1640	1056	2163
1641	1057	2162
1642	1058	2162
1643	1058	2161
1644	1059	2160
1645	1060	2160
1646	1060	2159
1647	1061	2158
1648	1061	2157
1649	1062	2156
1650	1062	2156
1651	1063	2155
1652	1064	2155
1653	1065	2154
1654	1065	2154
1655	1066	2153
1656	1067	2152
1657	1067	2152
1658	1068	2151
1659	1068	2150
1660	1069	2150
1661	1070	2149
1662	1071	2149
1663	1071	2148
1664	1072	2147
1665	1072	2147
1666	1073	2146
1667	1074	2145
1668	1075	2145
1669	1075	2144
1670	1076	2144
1671	1077	2143
1672	1077	2142
1673	1078	2142
1674	1078	2141
1675	1079	2141
1676	1080	2141
1677	1081	2140
1678	1081	2139
1679	1082	2139
1680	1083	2138
1681	1083	2137
1682	1084	2136
1683	1084	2136
1684	1085	2135
1685	1086	2135
1686	1086	2134
1687	1087	2133
1688	1087	2132
1689	1088	2131
1690	1089	2131
1691	1089	2130
1692	1090	2129
1693	1090	2128
1694	1091	2128
1695	1091	2127
1696	1092	2126
1697	1093	2125
1698	1093	2124
1699	1094	2124
1700	1094	2123
1701	1095	2123
1702	1096	2122
1703	1096	2121
1704	1097	2120
1705	1097	2119
1706	1098	2118
1707	1099	2119
1708	1100	2118
1709	1100	2117
1710	1101	2116
1711	1101	2116
1712	1102	2115
1713	1103	2114
1714	1103	2114
1715	1104	2113
1716	1104	2112
1717	1105	2111
1718	1105	2110
1719	1106	2110
1720	1107	2109
1721	1107	2108
1722	1108	2107
1723	1108	2107
1724	1109	2106
1725	1110	2107
1726	1111	2106
1727	1111	2105
1728	1112	2104
1729	1113	2103
1730	1113	2103
1731	1114	2102
1732	1114	2101
1733	1115	2100
1734	1115	2099
1735	1116	2099
1736	1116	2098
1737	1117	2097
1738	1118	2096
1739	1118	2096
1740	1119	2095
1741	1119	2094
1742	1120	2093
1743	1121	2092
1744	1121	2092
1745	1122	2091
1746	1122	2090
1747	1123	2089
1748	1123	2089
1749	1124	2088
1750	1125	2087
1751	1125	2086
1752	1126	2086
1753	1126	2085
1754	1127	2084
1755	1128	2083
1756	1128	2083
1757	1129	2082
1758	1129	2081
1759	1130	2080
1760	1130	2079
1761	1131	2079
1762	1131	2078
1763	1132	2077
1764	1133	2076
1765	1133	2075
1766	1134	2075
1767	1134	2074
1768	1135	2073
1769	1135	2072
1770	1136	2071
1771	1136	2071
1772	1137	2070
1773	1138	2069
1774	1138	2068
1775	1139	2068
1776	1139	2067
1777	1140	2066
1778	1140	2065
1779	1141	2065
1780	1142	2064
1781	1142	2063
1782	1143	2063
1783	1144	2062
1784	1144	2061
1785	1145	2060
1786	1145	2060
1787	1146	2059
1788	1146	2058
1789	1147	2057
1790	1148	2057
1791	1148	2056
1792	1149	2055
1793	1149	2054
1794	1150	2053
1795	1150	2053
1796	1151	2052
1797	1152	2051
1798	1152	2051
1799	1153	2050
1800	1154	2049
1801	1154	2049
1802	1155	2048
1803	1155	2047
1804	1156	2046
1805	1156	2046
1806	1157	2045
1807	1158	2044
1808	1158	2043
1809	1159	2043
1810	1159	2042
1811	1160	2041
1812	1160	2040
1813	1161	2039
1814	1162	2039
1815	1162	2038
1816	1163	2037
1817	1163	2036
1818	1164	2036
1819	1164	2035
1820	1165	2034
1821	1166	2034
1822	1166	2033
1823	1167	2032
1824	1168	2032
1825	1168	2031
1826	1169	2030
1827	1169	2029
1828	1170	2029
1829	1171	2028
1830	1171	2028
1831	1172	2027
